Round: 0
Turn num: 0   Lines cleared: 0
Turn num: 61700000   Lines cleared: 24679999
Turn num: 61800000   Lines cleared: 24719998
Turn num: 61900000   Lines cleared: 24759998
Turn num: 62000000   Lines cleared: 24799999
Turn num: 62100000   Lines cleared: 24839997
Turn num: 62200000   Lines cleared: 24879998
Turn num: 62300000   Lines cleared: 24919997
Turn num: 62400000   Lines cleared: 24959999
Turn num: 62500000   Lines cleared: 24999997
Turn num: 62600000   Lines cleared: 25039999
Turn num: 62700000   Lines cleared: 25079996
Turn num: 62800000   Lines cleared: 25119998
Turn num: 62900000   Lines cleared: 25159998
Turn num: 63000000   Lines cleared: 25199998
Turn num: 63100000   Lines cleared: 25239997
Turn num: 63200000   Lines cleared: 25279998
